epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.90604,2.30419,3.24731,2.12842,0.0025,0.69231,0.19687,0.04286,2.13299,4.19493,1.95588,0,0,0
2,11.3789,2.17595,3.19197,1.50507,0.0025,0.69231,0.19661,0.05452,2.08197,4.2272,1.91359,1.9604e-05,1.9604e-05,1.9604e-05
3,17.346,2.06446,3.62557,1.80883,0.0025,0.69231,0.25118,0.08846,2.00682,4.11948,1.79238,3.8416e-05,3.8416e-05,3.8416e-05
4,23.7166,1.76314,3.12278,1.6905,0.0025,0.69231,0.41846,0.18683,1.84615,4.00425,1.66189,5.6436e-05,5.6436e-05,5.6436e-05
5,34.5685,1.65632,2.80788,1.55746,0.0025,0.69231,0.52787,0.2736,1.60493,3.93034,1.58043,7.3664e-05,7.3664e-05,7.3664e-05
6,43.3792,1.6565,2.88232,1.52745,0.0025,0.69231,0.57012,0.36864,1.35215,3.74872,1.44212,9.01e-05,9.01e-05,9.01e-05
7,56.0422,1.52389,3.04743,1.68112,0.0025,0.69231,0.58458,0.42697,1.09323,3.69267,1.34305,0.000105744,0.000105744,0.000105744
8,64.9484,1.59895,2.76045,1.514,0.0025,0.69231,0.59149,0.4442,1.11795,3.72178,1.38163,0.000120596,0.000120596,0.000120596
9,73.6005,1.15611,2.45366,1.2267,0.0025,0.69231,0.58478,0.41152,1.16522,3.73365,1.41901,0.000134656,0.000134656,0.000134656
10,82.0299,1.36686,2.14811,1.43321,0.0025,0.69231,0.60591,0.42062,1.1349,3.63599,1.47726,0.000147924,0.000147924,0.000147924
11,90.9839,1.29377,2.12972,1.41193,0.0025,0.69231,0.60262,0.40816,1.20625,3.54094,1.53798,0.0001604,0.0001604,0.0001604
12,99.583,1.319,2.04196,1.45839,0.00581,0.69231,0.60683,0.41066,1.20242,3.47935,1.56009,0.000172084,0.000172084,0.000172084
